SiteName,Locator,Latitude,Longitude,Site Type,Area,New Georeferenced Column
Lake Washington near Henderson St,4903,47.5229,-122.262,Large Lakes,Lake Washington,POINT (-122.262 47.522945)
Lake Union east shore,0532,47.6426,-122.3312,Large Lakes,Lake Union/Ship Canal,POINT (-122.33124 47.642597)
Venema Creek at Pipers Creek Trail,KTHA03,47.7111,-122.3718,Streams and Rivers,Venema,POINT (-122.3717778 47.71105556)
Gene Coulon Park Beach,0828SB,47.5045,-122.203,Swimming Beaches,Lake Washington,POINT (-122.202995 47.5045)
Forbes Creek backwater,0456,47.6969,-122.2079,Streams and Rivers,Forbes,POINT (-122.2079444 47.69691667)
Pine Lake Creek mouth at E Lake Sammamish Pkwy,A680,47.6011,-122.0801,Streams and Rivers,Pine Lake,POINT (-122.0800833 47.60105556)
Evans Creek at NE Union Hill Rd,B484,47.6751,-122.0813,Streams and Rivers,Evans,POINT (-122.0812778 47.67511111)
Point Wells,JSTU01,47.7807,-122.403,Marine Offshore,Central Puget Sound,POINT (-122.4029999 47.7807007)
Lake Washington off Sand Point,0826,47.6868,-122.2353,Large Lakes,Lake Washington,POINT (-122.23533 47.686752)
Snoqualmie River at Taylor Landing,SNQDUVALL,47.7453,-121.9861,Streams and Rivers,Snoqualmie,POINT (-121.9861111 47.74527778)
SAM Sculpture Park,LTBD27,47.6172,-122.358,Marine Intertidal,Central Puget Sound,POINT (-122.3580017 47.6171989)
Raging River mouth near Dike Rd,RAGING_MTH,47.5669,-121.8833,Streams and Rivers,Raging River,POINT (-121.8833333 47.56694444)
Thornton Creek at Matthews Beach,A434,47.6951,-122.2765,Swimming Beaches,Thornton,POINT (-122.27652 47.6951)
Little Bear mouth near NE 178th St,0478,47.7566,-122.1664,Streams and Rivers,Little Bear,POINT (-122.1663889 47.75658333)
Cochran Springs near Lake Washington Blvd,A499,47.6449,-122.2025,Streams and Rivers,Cochran Springs,POINT (-122.2024722 47.64486111)
Madrona Park ,SD007SB,47.6088,-122.2826,Swimming Beaches,Lake Washington,POINT (-122.282616 47.608776)
North Creek at 240th St SE,D474,47.7799,-122.1881,Streams and Rivers,North,POINT (-122.1881389 47.77991667)
Seahurst Park,MTEC01,47.4781,-122.364,Marine Intertidal,Central Puget Sound,POINT (-122.3639984 47.4780998)
Ship Canal near Fremont Bridge,0518,47.6478,-122.35,Large Lakes,Lake Union/Ship Canal,POINT (-122.35 47.64778)
Piper's Creek,KTHA01,47.7106,-122.369,Streams and Rivers,Pipers,POINT (-122.3690033 47.7106018)
Harris Creek at Carnation Duvall Rd,HARRIS_1,47.6781,-121.9083,Streams and Rivers,Harris Creek,POINT (-121.9083333 47.67805556)
Green River at Interurban,0311,47.4655,-122.2479,Streams and Rivers,Green,POINT (-122.2479444 47.46547222)
Des Moines Creek Park,MTUJ01,47.4044,-122.331,Marine Intertidal,Central Puget Sound,POINT (-122.3310013 47.4043999)
Ship Canal under I-5 bridge,0536,47.6533,-122.3224,Large Lakes,Lake Union/Ship Canal,POINT (-122.32237 47.653347)
Kennydale Park Beach,KNYDALESB,47.5232,-122.2078,Swimming Beaches,Lake Washington,POINT (-122.20781 47.52325)
Tibbetts Creek mouth at footbridge,X630,47.554,-122.0696,Streams and Rivers,Tibbetts,POINT (-122.0695556 47.554)
Duck Island Beach Green Lake,A734_GM21,47.6808,-122.3424,Swimming Beaches,Green Lake,POINT (-122.34241 47.680836)
West Point South Beach,KSSN05,47.6612,-122.434,Marine Intertidal,Central Puget Sound,POINT (-122.4339981 47.6612015)
Issaquah Creek upstream of hatchery,A631,47.5271,-122.0384,Streams and Rivers,Issaquah,POINT (-122.0384444 47.52711111)
Seattle Waterfront - Grain Terminal,LTAB01,47.6261,-122.37,Marine Intertidal,Central Puget Sound,POINT (-122.3700027 47.6260986)
Pipers Creek upstream of S Ridge Trail,KTHA02,47.7108,-122.3717,Streams and Rivers,Pipers,POINT (-122.3717194 47.71077778)
Mouth of Lake Washington Ship Canal,KSQU01,47.6722,-122.405,Marine Intertidal,Central Puget Sound,POINT (-122.4049988 47.6721992)
Lake Sammamish near Lewis Creek,0617,47.5718,-122.0943,Large Lakes,Lake Sammamish,POINT (-122.09429 47.571766)
Gorsuch Creek mouth near end of SW 167th St,VA65A,47.4536,-122.4446,Streams and Rivers,Gorsuch,POINT (-122.4446389 47.45363333)
Jenkins Creek at Kent Black Diamond Rd SE,D320,47.3404,-122.1296,Streams and Rivers,Jenkins,POINT (-122.1295556 47.34041667)
Lisabeula Park,MRUW01,47.4058,-122.522,Marine Intertidal,Central Puget Sound,POINT (-122.5220032 47.4057999)
Lyon Creek mouth at Bothell Way NE,0430,47.7529,-122.2778,Streams and Rivers,Lyon,POINT (-122.2777778 47.75291944)
Lake Washington off Madrona Park,0846,47.6098,-122.268,Large Lakes,Lake Washington,POINT (-122.267975 47.609814)
Luther Burbank Park Beach,SD017SB,47.5879,-122.2242,Swimming Beaches,Lake Washington,POINT (-122.22425 47.58786)
Duwamish River at South Park Bridge,0307,47.5294,-122.314,Streams and Rivers,Duwamish,POINT (-122.314 47.5294)
Kelsey Creek at 121st Ave SE,0444,47.6031,-122.1812,Streams and Rivers,Kelsey ,POINT (-122.1812222 47.60308333)
Duwamish Park,LTTL02,47.5315,-122.32,Marine Intertidal,Central Puget Sound,POINT (-122.3199997 47.5315018)
Me-Kwa-Mooks Park,LSLT02,47.5639,-122.407,Marine Intertidal,Central Puget Sound,POINT (-122.4069977 47.5639)
Middle Fork Snoqualmie at 428th Ave SE,MFK_SNQ,47.5161,-121.7694,Streams and Rivers,Snoqualmie - Middle Fork,POINT (-121.7694444 47.51611111)
Sammamish Landing ,SAMMLANDINGSB,47.6486,-122.6884,Swimming Beaches,Lake Sammamish,POINT (-122.68843 47.64859)
Vashon Outfall (Previous),VO50E,47.4532,-122.439,Marine Offshore,Central Puget Sound,POINT (-122.439003 47.4532013)
Sammamish River at NE Marymoor Way,0486,47.6624,-122.1244,Streams and Rivers,Sammamish,POINT (-122.1244444 47.66236111)
Tahlequah Creek mouth at SW Pohl Rd,VA37A,47.3346,-122.5086,Streams and Rivers,Tahlequah,POINT (-122.5086028 47.334575)
Longfellow Creek at SW Yancy St,C370,47.5676,-122.3665,Streams and Rivers,Longfellow,POINT (-122.3665167 47.56759722)
Alki Outfall,LSKQ06,47.5703,-122.422,Marine Offshore,Central Puget Sound,POINT (-122.4219971 47.5703011)
Carkeek Park - Piper's Creek Outflow,KSHZ03,47.7125,-122.3796,Marine Intertidal,Central Puget Sound,POINT (-122.3795778 47.71253889)
Lake Sammamish near outlet,0625,47.6524,-122.1066,Large Lakes,Lake Sammamish,POINT (-122.10658 47.65242)
Green River at SE Auburn-Black Diamond Rd,A319,47.3021,-122.1759,Streams and Rivers,Green,POINT (-122.1759111 47.30211389)
Quartermaster Harbor Yacht Club,MSWH01,47.3939,-122.4635,Marine Offshore,Central Puget Sound,POINT (-122.4635 47.3939444)
Pine Lake Beach,E708SB,47.5872,-122.041,Swimming Beaches,Pine Lake,POINT (-122.041 47.587193)
Lake Washington mid-lake south,0831,47.5159,-122.2191,Large Lakes,Lake Washington,POINT (-122.219086 47.51586)
